id,darija,eng,darija_ar
674,fiha antibiotic li khayb lbachra,,فيها أنتيبيوتيك لي خايب لباشرا
675,khas tkoni f shi mdina matkon fiha rotoba,,خاس تكوني ف سهي مدينا ماتكون فيها روتوبا
676,ila kan ljaw nachf,,إلا كان لجاو ناشف
677,rah atjr lik rotoba mn wjhak,,راه أتجر ليك روتوبا من وجهاك
678,ghadi tnchaf lik wjhak,,غادي تنشاف ليك وجهاك
679,kant khrajtha tbiba lmama 3la 9bl whd lhba nadt liha fnifha ou hydtha liha,,كانت خراجتها تبيبا لماما علا قبل وهد لهبا نادت ليها فنيفها و هيدتها ليها
680,ila kan wjehk dohni khodi dyal romain,,إلا كان وجهك دوهني خودي ديال روماين
681,as3ab mawdo3 3ndi fhyaty,,أسعاب ماودوع عندي فهياتي
682,had no3 dial bechra ana wlah ma3erftha,,هاد نوع ديال بشرا أنا ولاه ماعرفتها
683,bghit nchrk m3akoum aswae tjriba,,بغيت نشرك معاكوم أسوا تجريبا
684,3echftha f hyati,,عشفتها ف هياتي
685,bach matihouch f nafs l mouchkil,,باش ماتيهوش ف نافس ل موشكيل
686,kant kan9lab 3la villa lkra fiha la piscine,,كانت كانقلاب علا ڤيلّا لكرا فيها لا پيسسين
687,bant liya wohda f facebook,,بانت لييا ووهدا ف فاسبوك
688,ftsawar bayna kbira o n9iya,,فتساوار باينا كبيرا أُ نقييا
689,z3ma chi haja dyal rfi3 b 1700 dh,,زعما شي حاجة ديال رفيع ب 1700 ده
690,3yat l siyad 9alk bghit tasbi9,,عيات ل سيياد قالك بغيت تاسبيق
691,o tjiw tchoufouha,,أُ تجيو تشوفوها
692,hzit wlidati w l walid w rajli w mchina,,هزيت وليداتي و ل واليد و راجلي و مشينا
693,mnin wslna ya lbnat,,منين وسلنا يا لبنات
694,tsdamt dakchi mosakh,,تسدامت داكشي موساخ
695,dar m9loba,,دار مقلوبا
696,riha dyal l garou katkhna9,,ريها ديال ل ڭارو كاتخناق
697,ma9dinach nglsou fiha,,ماقديناش نڭلسو فيها
698,w chrab f lkissan,,و شراب ف لكيسّان
699,kan 3lik hta tchofiha 3ad kriha,,كان عليك هتا تشوفيها عاد كريها
700,ana yalah kont karya wahda,,أنا يالاه كونت كاريا واهدا
701,hta chaftha 3ad khlast,,هتا شافتها عاد خلاست
702,lah y3amrha sal3a,,الله يعامرها سالعا
703,kolchi 3ndha rezal ne9a,,كولشي عندها رزال نقا
704,chno ma9labti katl9ayh 3andha,,شنو ماقلابتي كاتلقايه عاندها
705,piscine hna fih ou kayji l3sas belil yna9ih,,پيسسين هنا فيه و كايجي لعساس بليل يناقيه
706,kanfi9o fsbah kal9awh ne9i,,كانفيقو فسباه كالقاوه نقي
707,hadi kan fiha tzandi9,,هادي كان فيها تزانديق
708,konti thayhi 3lih yradlik flossk,,كونتي تهايهي عليه يرادليك فلوسّك
709,wakha tbato f fondo9,,واخا تباتو ف فوندوق
710,saraha mazwinach katban mzyta flwjh,,ساراها مازويناش كاتبان مزيتا فلوجه
711,mli kandirha 3ad makatchd fiya chamch ktr,,ملي كانديرها عاد ماكاتشد فييا شامش كتر
712,ma7bithach katb9a mzyta f lwjh,,ماحبيتهاش كاتبقا مزيتا ف لوجه
713,wallh hta kndoz kola nhar,,والّه هتا كندوز كولا نهار
714,knb9a nchof f rssi fjaj o kndhk,,كنبقا نشوف ف رسّي فجاج أُ كندهك
715,kngol waw 3mrni kont kntkhyl rssi ghnkon haka,,كنڭول واو عمرني كونت كنتخيل رسّي غنكون هاكا
716,ky3jbni rassi bazf,,كيعجبني راسّي بازف
717,ktchdni lbakia,,كتشدني لباكيا
718,kant karita o 3mar chihad nsahni,,كانت كاريتا أُ عمار شيهاد نساهني
719,taghyiir kyji mnk nti mn ldakhl dyalk,,تاغييّر كيجي منك نتي من لداخل ديالك
720,ana derte regime o n9asste,,أنا درت رڭيم أُ نقاسّت
721,khafte gha yji ramdan narj3 kif kante,,خافت غا يجي رامدان نارجع كيف كانت
722,rani zadte wahd 3 kilo,,راني زادت واهد 3 كيلو
723,katjini ghriba fach knchuf chi 7ed n9es,,كاتجيني غريبا فاش كنشوف شي حد نقس
724,kayban li mosta7il ndir bhalo,,كايبان لي موستاحيل ندير بهالو
725,3rada dartha lkhouya ou mrato,,عرادا دارتها لخويا و مراتو
726,lbnat wach had pomada mzyana lhboub?,,لبنات واش هاد پومادا مزيانا لهبوب?
727,chakratha liya wahd lbnt,,شاكراتها لييا واهد لبنت
728,khaftha tkoun khayba lwjah,,خافتها تكون خايبا لوجاه
729,ma3raftch 3lach 3tawha had smiya,,ماعرافتش علاش عتاوها هاد سمييا
730,katb9a men ahssan hlawi dlacreme 3andi,,كاتبقا من أهسّان هلاوي دلاكرم عاندي
731,hadi b mada9 ananas,,هادي ب ماداق أناناس
732,s9itha b 3assir limon,,سقيتها ب عاسّير ليمون
733,lhboba fo9 jlda dras,,لهبوبا فوق جلدا دراس
734,kolha ryos dayra bhal chi worda,,كولها ريوس دايرا بهال شي ووردا
735,hiya 3ndi mni kont sghira,,هييا عندي مني كونت سغيرا
736,moekharan bdat katkbar,,موخاران بدات كاتكبار
737,ma3raft wach kathyad olala,,ماعرافت واش كاتهياد أُلالا
738,chno ndir liha ?,,شنو ندير ليها ?
739,lifat liha chft bhal had lhla,,ليفات ليها شفت بهال هاد لهلا
740,3la malha la3robiya ?,,علا مالها لاعروبييا ?
741,kif jatak akhti ?,,كيف جاتاك أختي ?
742,katbani liya hagra la3robiya,,كاتباني لييا هاڭرا لاعروبييا
743,nari makanhmlhach,,ناري ماكانهملهاش
744,ila bgha rajli i3sabni kaygoliya fin ahobi,,إلا بغا راجلي إعسابني كايڭولييا فين أهوبي
745,3lach kangolo 3la ayi haja khayba,,علاش كانڭولو علا أيي حاجة خايبا
746,kangolo 3liha 3roubia,,كانڭولو عليها عروبيا
747,mn khirha 3aychin,,من خيرها عايشين
748,machi ra9ya omajatch m3a elhjja,,ماشي راقيا أُماجاتش معا إلهجّا
749,nsamiwha sawa9ia,,نساميوها ساواقيا
750,smholi bzaf ana mabghit,,سمهولي بزاف أنا مابغيت
751,golt lik wijhat ndar dyali,,ڭولت ليك ويجهات ندار ديالي
752,matnsaych rassk otsnay li ichkrak,,ماتنسايش راسّك أُتسناي لي إشكراك
753,gheladiti 3etini lwsfa,,غلاديتي عتيني لوسفا
754,ma3raft chkon fih noba,,ماعرافت شكون فيه نوبا
755,3acha man chafk,,عاشا مان شافك
756,3ndi khebar tefer7ak,,عندي خبار تفرحاك
757,jibli l7ala olbarod,,جيبلي لحالا أُلبارود
758,makan7malch benadm motana9id,,ماكانحمالش بنادم موتاناقيد
759,sawbt bghrir o lmssaman,,ساوبت بغرير أُ لمسّامان
760,ghdi tejri woraya,,غدي تجري وورايا
761,mokhtafi howa mossalssal jdid,,موختافي هووا موسّالسّال جديد
762,4 dlbnat shabat mefahmat,,4 دلبنات سهابات مفاهمات
763,kant galssa fe9ahwa,,كانت ڭالسّا فقاهوا
764,homa sawloni o ana jawebt,,هوما ساولوني أُ أنا جاوبت
765,mayn9s min 3amri hta nhar,,ماينقس مين عامري هتا نهار
766,kanchfok f talfaza,,كانشفوك ف تالفازا
767,ana bachar machi malak,,أنا باشار ماشي مالاك
768,kol wahd 3ndo ljanib lkhayb mekhbih,,كول واهد عندو لجانيب لخايب مخبيه
769,chri lya te9achr d lbard,,شري ليا تقاشر د لبارد
770,siftkom chi 7ad 3ndi ?,,سيفتكوم شي حاد عندي ?
771,dawam l7al mina lmo7al,,داوام لحال مينا لموحال
772,danya dwara,,دانيا دوارا
773,makdboch mli galo la ti9a fik,,ماكدبوش ملي ڭالو لا تيقا فيك
774,lyom anmchi ltiran,,ليوم أنمشي لتيران
775,la3ba lbarssa,,لاعبا لبارسّا
776,kherjat oghniya jdida,,خرجات أُغنييا جديدا
777,had l3am 3eta lah zitoun,,هاد لعام عتا الله زيتون
778,kanbi3 zit lbaldiya,,كانبيع زيت لبالدييا
779,telamd 9eraw ghi lyom,,تلامد قراو غي ليوم
780,kandir reyada f sbah,,كاندير ريادا ف سباه
781,l9anoun fo9 kolchi,,لقانون فوق كولشي
782,lwazir defa3 isti9ala,,لوازير دفاع إستيقالا
783,makaynach l9raya,,ماكايناش لقرايا
784,tefarji frossom mota7arika,,تفارجي فروسّوم موتاحاريكا
785,hadi tomobila 9dima,,هادي توموبيلا قديما
786,talab mochtarak s3ib it9bal,,تالاب موشتاراك سعيب إتقبال
787,jibi nosskha min chahadat lbac,,جيبي نوسّخا مين شاهادات لباك
788,bghit nkmat 9rayti,,بغيت نكمات قرايتي
789,awal haja df3i bac 7or,,أوال حاجة دفعي باك حور
790,matn3ssoch bohdkom fdar kbira,,ماتنعسّوش بوهدكوم فدار كبيرا
791,kan9ri woldi blfloss,,كانقري وولدي بلفلوسّ
792,tewdar li lkhatm li 3titini,,تودار لي لخاتم لي عتيتيني
793,nayti safya min jihtak,,نايتي سافيا مين جيهتاك
794,sam3i lmodan kaywdan,,سامعي لمودان كايودان
795,7ali charjam l7al skhon,,حالي شارجام لحال سخون
796,9albi lbaliza lkbira,,قالبي لباليزا لكبيرا
797,9albi 3ala akhir akhbar,,قالبي عالا أخير أخبار
798,tla9it me3a lwalid,,تلاقيت معا لواليد
799,chba3 floss leghrama,,شباع فلوسّ لغراما
800,dar safliya khayba,,دار سافلييا خايبا
801,ghadi ti7 cheta had simana,,غادي تيح شتا هاد سيمانا
802,bent jiran hamla btwam,,بنت جيران هاملا بتوام
803,makaychitch liya lwa9t,,ماكايشيتش لييا لواقت
804,nehar twil ochams mazala 9as7a,,نهار تويل أُشامس مازالا قاسحا
805,a3ssabi 3la seba,,أعسّابي علا سبا
806,kherajt odarbni lbard,,خراجت أُداربني لبارد
807,fiya sekhana o tboricha,,فييا سخانا أُ تبوريشا
808,ma9adach namchi lkhdma,,ماقاداش نامشي لخدما
809,jam3i had rwina bezarba,,جامعي هاد روينا بزاربا
810,te3almi logha li tanf3ak,,تعالمي لوغا لي تانفعاك
811,kant3alam lkhiyata ta9lidiya,,كانتعالام لخيياتا تاقليدييا
812,ghedabt chehrayn fdarna,,غدابت شهراين فدارنا
813,woldat 5 dlwlad ojoj benat,,وولدات 5 دلولاد أُجوج بنات
814,tassarofatk mostafizza,,تاسّاروفاتك موستافيزّا
815,merra kbiira omrida,,مرّا كبيّرا أُمريدا
816,khedama flozin li 7edana,,خداما فلوزين لي حدانا
817,chrit lyouma wahd t3rija kbira,,شريت ليوما واهد تعريجا كبيرا
818,riwaya lli kmalt hsan mn hadi,,ريوايا اللي كمالت هسان من هادي
819,kay3jabni riwaya lbolisiya,,كايعجابني ريوايا لبوليسييا
820,riwayat lhob mazwininch,,ريوايات لهوب مازوينينش
821,lo3ba ta3limiya ta9afiya hadi,,لوعبا تاعليمييا تاقافييا هادي
822,ghanmchi l3ars ghda,,غانمشي لعارس غدا
823,3rdat 3lina mamat l3rousa,,عردات علينا مامات لعروسا
824,jat l3rousa tal dar t3rad 3lina,,جات لعروسا تال دار تعراد علينا
825,mal9atnach l3rousa fdar,,مالقاتناش لعروسا فدار
826,frhat mamat l3rousa bzzef,,فرهات مامات لعروسا بزّف
827,galt lina wach ghatjiw?,,ڭالت لينا واش غاتجيو?
828,imta ghanmchiw l3ars ?,,إمتا غانمشيو لعارس ?
829,l3ris howa lli ghadi ikhalas transport,,لعريس هووا اللي غادي إخالاس ترانسپورت
830,ghanmchiw brjal tal dowar,,غانمشيو برجال تال دووار
831,wach ghanrakbo lkamyou?,,واش غانراكبو لكاميو?
832,ghanmchiw m3a nas fsbah bkri,,غانمشيو معا ناس فسباه بكري
833,mazal ma3rafna wach dar l3a9d,,مازال ماعرافنا واش دار لعاقد
834,khwatatha ghaygalso fdar msakan,,خواتاتها غايڭالسو فدار مساكان
835,3andhoum khthoum mrida,,عاندهوم ختهوم مريدا
836,l3ris ghaylbas jlaba bida,,لعريس غايلباس جلابا بيدا
837,l3rousa ghaydiro liha l3kar,,لعروسا غايديرو ليها لعكار
838,ghaydiro lbnat lhna flyidin,,غايديرو لبنات لهنا فلييدين
839,l3rousa ghaydiro liha lhna,,لعروسا غايديرو ليها لهنا
840,ghaytaybo ghi twajan fl3ars,,غايتايبو غي تواجان فلعارس
841,ghayghaniw mn dowarna tal dowarhoum,,غايغانيو من دووارنا تال دووارهوم
842,l3yalat homa lli ghaniw,,لعيالات هوما اللي غانيو
843,rjal ghaydarbo lbandir,,رجال غايداربو لباندير
844,wahd dari ghaysout fl3owad,,واهد داري غايسوت فلعوواد
845,ghadi ighaniw chalha,,غادي إغانيو شالها
846,dowarhoum sghir,,دووارهوم سغير
847,ghadi ntlagaw tma nas jdad,,غادي نتلاڭاو تما ناس جداد
848,i9dar nmchi 3and sahbti,,إقدار نمشي عاند ساهبتي
849,ghaychtah l3rousa ol3ris ghandiw l3rousa ldarha,,غايشتاه لعروسا أُلعريس غانديو لعروسا لدارها
850,ghathayid mn tamara dyal darhoum,,غاتهاييد من تامارا ديال دارهوم
851,l3ars 3andhoum t9lidi,,لعارس عاندهوم تقليدي
852,maghaydirouch l3mariya,,ماغايديروش لعمارييا
853,ghadir l3rousa l3amariya?,,غادير لعروسا لعامارييا?
854,mafhalhoumch msakan,,مافهالهومش مساكان
855,l3ris howa lli ghaydir l3ars,,لعريس هووا اللي غايدير لعارس
856,l3rousa madartch l3ars fdarhoum,,لعروسا مادارتش لعارس فدارهوم
857,darhoum taht fzalzal,,دارهوم تاهت فزالزال
858,3aychin ghi flkhayama,,عايشين غي فلخاياما
859,hchouma idiro l3ars flkhayama,,هشوما إديرو لعارس فلخاياما
860,l3ris ghaydi l3rousa isafro,,لعريس غايدي لعروسا إسافرو
861,wach ghaydiro chahr l3asal ?,,واش غايديرو شاهر لعاسال ?
862,fin ghaydowzo chhr l3asal ?,,فين غايدووزو شهر لعاسال ?
863,l3ris ly ghayjib d9ay9iya ?,,لعريس لي غايجيب دقايقييا ?
864,ghandiro lhdiya l3rousa,,غانديرو لهدييا لعروسا
865,chno ghandiro flhdiya ?,,شنو غانديرو فلهدييا ?
866,ghanjm3o fiha lcadoyat dnas,,غانجمعو فيها لكادويات دناس
867,3rdat mamat l3rousa 3la nas,,عردات مامات لعروسا علا ناس
868,rjal mazal ma3ardo 3lihoum,,رجال مازال ماعاردو عليهوم
869,ghaythlaw tani frjal ktar mn l3yalat,,غايتهلاو تاني فرجال كتار من لعيالات
870,maghant3chaw tal wahd lwa9t,,ماغانتعشاو تال واهد لواقت
871,ghaydiro twajan l3cha,,غايديرو تواجان لعشا
872,mazal malgit tkchita ly ghatji m3aya,,مازال مالڭيت تكشيتا لي غاتجي معايا
873,ghadi nkhtar bin l9ftan otkchita,,غادي نختار بين لقفتان أُتكشيتا
874,jlaba maghadich nlbasha l3ars,,جلابا ماغاديش نلباسها لعارس
875,galt liya sahbti jlabatak mzayra,,ڭالت لييا ساهبتي جلاباتاك مزايرا
876,3andha wahd l9ftan zwin,,عاندها واهد لقفتان زوين
877,3jbni l9ftan lli lbsat l3rousa,,عجبني لقفتان اللي لبسات لعروسا
878,wach ghadir nagafa?,,واش غادير ناڭافا?
879,ma3andhach lflous bach dir nagafa,,ماعاندهاش لفلوس باش دير ناڭافا
880,tghyir loun lma froubini,,تغيير لون لما فروبيني
881,lkhawf rkab fina,,لخاوف ركاب فينا
882,ma3rafna njariw ola nwa9fo,,ماعرافنا نجاريو أُلا نواقفو
883,ma3arfoch nas mazal wach imchiw l3ars,,ماعارفوش ناس مازال واش إمشيو لعارس
884,lkhof kayjri fdam,,لخوف كايجري فدام
885,jiran kolchi kayjari,,جيران كولشي كايجاري
886,nafsiya dyali mohatama,,نافسييا ديالي موهاتاما
887,choufi mn hali rani madrour,,شوفي من هالي راني مادرور
888,chouf mn hali rani madloum,,شوف من هالي راني مادلوم
889,lhob s3ib orabta zoghbiya,,لهوب سعيب أُرابتا زوغبييا
890,l3rousa hrbat mn dar l3ars,,لعروسا هربات من دار لعارس
891,b9aw nas kayjariw i9albo 3liha,,بقاو ناس كايجاريو إقالبو عليها
892,l3ris mabghach itla3 fo9 l3amariya,,لعريس مابغاش إتلاع فوق لعامارييا
893,l3rousa taht mn l3mariya,,لعروسا تاهت من لعمارييا
894,galo ghaydiro l3ars fl9a3a,,ڭالو غايديرو لعارس فلقاعا
895,l9a3a b3ida 3lina bzzef,,لقاعا بعيدا علينا بزّف
896,ghanrkab tomobil ila ghanmchi l3ars,,غانركاب توموبيل إلا غانمشي لعارس
897,galo ghaydiro chwa fl3ars,,ڭالو غايديرو شوا فلعارس
898,darouri mn lhlib otmar fdakhla,,داروري من لهليب أُتمار فداخلا
899,ghaydiro l3asir oles soirée,,غايديرو لعاسير أُلس سورé
900,sahbti katchtah fo9 l93da,,ساهبتي كاتشتاه فوق لقعدا
901,tmanit idiro lbastila dlhout,,تمانيت إديرو لباستيلا دلهوت
902,twahacht djaj mhamar m3a dghmira,,تواهاشت دجاج مهامار معا دغميرا
903,l3ris ghbar lih latar,,لعريس غبار ليه لاتار
904,mchaw dar l3doul idiro l3a9ad,,مشاو دار لعدول إديرو لعاقاد
905,darouri isiniw bjouj 3la l3a9ad,,داروري إسينيو بجوج علا لعاقاد
906,dkhlo group dlmoghaniyin l9a3a,,دخلو ڭروپ دلموغانييين لقاعا
907,ghayjibo lhdarat fl3ars,,غايجيبو لهدارات فلعارس
908,zw9o tomobil dyal l3arsan,,زوقو توموبيل ديال لعارسان
909,l3ars ghaydirouh fdowar,,لعارس غايديروه فدووار
910,ghaydabho lbagra fl3ars,,غايدابهو لباڭرا فلعارس
911,l3yalat kaydiro zgharit,,لعيالات كايديرو زغاريت
912,rjal jabo lihoum lf9ih,,رجال جابو ليهوم لفقيه
913,ghanbda riwaya jdida,,غانبدا ريوايا جديدا
914,achmn riwaya 9riti lyouma ?,,أشمن ريوايا قريتي ليوما ?
915,chhar wana kan9ra fwahd riwaya,,شهار وانا كانقرا فواهد ريوايا
916,wach ghathanini mn had lhoutala,,واش غاتهانيني من هاد لهوتالا
917,kolchi khasou isali lyouma,,كولشي خاسو إسالي ليوما
918,ana mab9itch 9atdra nsbar l9lil lhya,,أنا مابقيتش قاتدرا نسبار لقليل لهيا
919,lbatal 3rf chkon bah lhakiki,,لباتال عرف شكون باه لهاكيكي
920,lkhoutoba tfskhat,,لخوتوبا تفسخات
921,mab9atch ghaytzawaj bl mouhandisa,,مابقاتش غايتزاواج بل موهانديسا
922,lmouhandis samam wahd dar zwina,,لموهانديس سامام واهد دار زوينا
923,had dar hiya likant kanhlam biha,,هاد دار هييا ليكانت كانهلام بيها
924,mn chhal hadi wana bghit tkoun 3andi dar,,من شهال هادي وانا بغيت تكون عاندي دار
925,lmohandis dar blan zwin ldar,,لموهانديس دار بلان زوين لدار
926,chkon had lkhiyat likatkhayti 3ando,,شكون هاد لخييات ليكاتخايتي عاندو
927,sir jib lham 3and lgazar,,سير جيب لهام عاند لڭازار
928,mcha iwajah bah lhakiki,,مشا إواجاه باه لهاكيكي
929,khba 3lih lhakika mn chhal hadi,,خبا عليه لهاكيكا من شهال هادي
930,mli kan sghir tkhala 3lih,,ملي كان سغير تخالا عليه
931,ghir 3raf bli lmra hamla tkhala 3liha,,غير عراف بلي لمرا هاملا تخالا عليها
932,hiya rbat lwald bouhdha,,هييا ربات لوالد بوهدها
933,ghaysali l3ars fsbah bkri,,غايسالي لعارس فسباه بكري
934,l3ars kayn ha9an blil ?,,لعارس كاين هاقان بليل ?
935,daro l3ars fnhar,,دارو لعارس فنهار
936,galo lihoum nas mabrouk l3ars,,ڭالو ليهوم ناس مابروك لعارس
937,khti tzad 3andha wald,,ختي تزاد عاندها والد
938,khouya wldat mrato bant,,خويا ولدات مراتو بانت
939,kano baghyin itzad 3andhoum wald,,كانو باغيين إتزاد عاندهوم والد
940,ghaydouz 7 jour ghaydiro l3a9i9a,,غايدوز 7 جور غايديرو لعاقيقا
941,ghaydabho lih hawli nhar 7 iyam,,غايدابهو ليه هاولي نهار 7 إيام
942,ghay3ardo nas fsbou3,,غايعاردو ناس فسبوع
943,ghaydiro sbou3 fl9a3a,,غايديرو سبوع فلقاعا
944,waldi kayt3alam fonoun l9ital,,والدي كايتعالام فونون لقيتال
945,bnt jiran kadir lkarati,,بنت جيران كادير لكاراتي
946,tazawajih 9ari2an,,تازاواجيه قاريأن
947,ra9s char9i howa lli dart sahbti,,راقس شارقي هووا اللي دارت ساهبتي
948,darou' lih mofaja2a f3arso,,دارو' ليه موفاجاأ فعارسو
949,dazt lkhotouba zwina,,دازت لخوتوبا زوينا
950,3rdat 3liya sahbti lkhotoubtha,,عردات علييا ساهبتي لخوتوبتها
951,3rad 3liya sahbi l3arso,,عراد علييا ساهبي لعارسو
952,dart lhna flkhotba,,دارت لهنا فلخوتبا
953,lmalabis dakhiliya wlat ghalya,,لمالابيس داخيلييا ولات غاليا
954,chrit malabis dakhiliya jdadin,,شريت مالابيس داخيلييا جدادين
955,3jboni malabis dakhiliya fso9,,عجبوني مالابيس داخيلييا فسوق
956,daro chihab nariya fl3ars,,دارو شيهاب نارييا فلعارس
957,tal9o chihab nariya fsma,,تالقو شيهاب نارييا فسما
958,had chihab nariya fiha bzzef dlwan,,هاد شيهاب نارييا فيها بزّف دلوان
959,khbaw drari chihab nariya taht lhjar,,خباو دراري شيهاب نارييا تاهت لهجار
960,taybat khbizat m3amrin,,تايبات خبيزات معامرين
961,jaw lkhbizat mwar9in,,جاو لخبيزات موارقين
962,thrgat lina lboula lli flbit,,تهرڭات لينا لبولا اللي فلبيت
963,kan 3andi sokour mkhabiyah,,كان عاندي سوكور مخابيياه
964,lbid obtata mhrougin fl3cha,,لبيد أُبتاتا مهروڭين فلعشا
965,bayna lyouma ghanmoto bjou3,,باينا ليوما غانموتو بجوع
966,taht lmcha fo9 lmida,,تاهت لمشا فوق لميدا
967,hna dima 3ndna rawaj,,هنا ديما عندنا راواج
968,stahlak blama thlak,,ستاهلاك بلاما تهلاك
969,nafs lhaja t3awdat 3andi chhal mn mra,,نافس لحاجة تعاودات عاندي شهال من مرا
970,lf9ih sad 3la mrato fdar,,لفقيه ساد علا مراتو فدار
971,lf9ih dkhal lmsjid bsbato,,لفقيه دخال لمسجيد بسباتو
972,tsad 3lihoum lbab,,تساد عليهوم لباب
973,galo bli jartna hamla,,ڭالو بلي جارتنا هاملا
974,mabghatch mamaha thmal,,مابغاتش ماماها تهمال
975,lwlad zinat lhayat,,لولاد زينات لهايات
976,lmadahir khada3a,,لماداهير خاداعا
977,dahiroho laysa kabatinih,,داهيروهو لايسا كاباتينيه
978,farcho zrabi fl9a3a,,فارشو زرابي فلقاعا
979,nad kolchi kaychtah,,ناد كولشي كايشتاه
980,karho nas l3rasat,,كارهو ناس لعراسات
981,l3rasat kaykono fsif,,لعراسات كايكونو فسيف
982,lbard machi dyal l3ars,,لبارد ماشي ديال لعارس
983,l3otla jaya ghaydiro l3ars,,لعوتلا جايا غايديرو لعارس
984,chkoun kla tfaha kamla?,,شكون كلا تفاها كاملا?
985,dghoul hada,,دغول هادا
986,had lbil khdam mzyan,,هاد لبيل خدام مزيان
987,lpil darouri fjbal,,لپيل داروري فجبال
988,jdaha jaha zhaymar,,جداها جاها زهايمار
989,chnahowa zhayimar?,,شناهووا زهاييمار?
990,zhaymar howa nisyan,,زهايمار هووا نيسيان
991,khayib tnsa wladak,,خاييب تنسا ولاداك
992,matb9a 3a9al 3la chrik hyatak,,ماتبقا عاقال علا شريك هياتاك
993,dowaz hyato s3iba,,دوواز هياتو سعيبا
994,tfrg3at khancha dyal dgig,,تفرڭعات خانشا ديال دڭيڭ
995,jaw 3ndha bzzef dyal dyaf,,جاو عندها بزّف ديال دياف
996,drari labsin lkostum,,دراري لابسين لكوستوم
997,lbnat lbso lbsa dyal chalha,,لبنات لبسو لبسا ديال شالها
998,jat 3gouztha mn lblad,,جات عڭوزتها من لبلاد
999,dazo lbisat wa3rin dyal nagafa,,دازو لبيسات واعرين ديال ناڭافا
1000,zawjouha mazala sghira,,زاوجوها مازالا سغيرا
1001,chrfat 3ad tzowjat,,شرفات عاد تزووجات
1002,l3ris kbar mn baha,,لعريس كبار من باها
1003,fin dbrat 3la had lmarka,,فين دبرات علا هاد لماركا
1004,t3aychi m3a lwad3 ortahi,,تعايشي معا لوادع أُرتاهي
1005,hsan wajho bzizwar,,هسان واجهو بزيزوار
1006,kat3awad liha 3la l3rousa,,كاتعاواد ليها علا لعروسا
1007,frhat hit kabro biha nas,,فرهات هيت كابرو بيها ناس
1008,kolchi mrtah ofrhan,,كولشي مرتاه أُفرهان
1009,3ailt l3ris kbrat bl3rousa,,عايلت لعريس كبرات بلعروسا
1010,khwatat l3ris ghi kaybadlo,,خواتات لعريس غي كايبادلو
1011,khwalat l3ris jabo wladhoum,,خوالات لعريس جابو ولادهوم
1012,jarna dar hadita momita,,جارنا دار هاديتا موميتا
1013,bghit ndir chi chhiwa mo3tabara,,بغيت ندير شي شهيوا موعتابارا
1014,ghadi nsoum rmdan,,غادي نسوم رمدان
1015,siyam zwin kayhafad 3la siha,,سييام زوين كايهافاد علا سيها
1016,samti lbarah ?,,سامتي لباراه ?
1017,siyam fih ajar kbir,,سييام فيه أجار كبير
1018,kaysomo lbnat olwlad,,كايسومو لبنات أُلولاد
1019,lom hiya lli kayhafad 3la wladha,,لوم هييا اللي كايهافاد علا ولادها
1020,katkhali mslahtha odir dyal wladha,,كاتخالي مسلاهتها أُدير ديال ولادها
1021,daro lkhtba fdar jdida,,دارو لختبا فدار جديدا
1022,khasna nbarkoo liha dar jdida,,خاسنا نباركو ليها دار جديدا
1023,lboula ila tfrg3at mochkila,,لبولا إلا تفرڭعات موشكيلا
1024,bsahti tadwicha olmassag,,بساهتي تادويشا أُلماسّاڭ
1025,lmassag kaydar ghali fcenter,,لماسّاڭ كايدار غالي فسنتر
1026,centre ly 9rit fih zwin,,سنتر لي قريت فيه زوين
1027,tlagit m3a bnat nas,,تلاڭيت معا بنات ناس
1028,3mato m9ablin l9il ol9al,,عماتو مقابلين لقيل أُلقال
1029,jat l3rousa labsa salham,,جات لعروسا لابسا سالهام
1030,kolchi hadi l3rousa ol3ris,,كولشي هادي لعروسا أُلعريس
1031,3ftat lih 3la rjlih,,عفتات ليه علا رجليه
1032,dima imchi klamha 3la klamo,,ديما إمشي كلامها علا كلامو
1033,khas chi hel lahd lmouchkil,,خاس شي هل لاهد لموشكيل
1034,galou bli hadchi likayw9a3 rah khatir,,ڭالو بلي هادشي ليكايوقاع راه خاتير
1035,kolchi na3as ana 3asa 3lihom,,كولشي ناعاس أنا عاسا عليهوم
1036,ydi t9ila 3liya kanhas brasi m3asba,,يدي تقيلا علييا كانهاس براسي معاسبا
1037,hadchi liw9ah mouakharn makhlach 3andi tarkiz,,هادشي ليوقاه مواخارن ماخلاش عاندي تاركيز
1038,achnou liw9a3 lik bach tgoli had lhdra,,أشنو ليوقاع ليك باش تڭولي هاد لهدرا
